Year,Average_Land_Temperature (celsius),Average_LandOcean_Temperature (celsius),Average_Emissions (MtCOâ‚‚e),Average_Sealevel (mm)
1990,9.234166667,15.62933333,22849.92,-22.84739583
1991,9.179416667,15.598,23056.4,-22.8140625
1992,8.836583333,15.453,22988.29,-20.24739583
1993,8.866583333,15.46641667,23124,-22.78072917
1994,9.03875,15.535,23260.29,-17.98072917
1995,9.347083333,15.63783333,23890.22,-15.58072917
1996,9.038916667,15.52466667,24214.92,-11.94739583
1997,9.202583333,15.71383333,25292.92,-2.647395833
1998,9.522666667,15.826,24895.32,-10.8140625
1999,9.285083333,15.60033333,24957.3,-0.247395833
2000,9.201166667,15.61066667,25637.87,2.952604167
2001,9.414583333,15.7675,25726.42,4.719270833
2002,9.570416667,15.82916667,26486.63,2.152604167
2003,9.525583333,15.82658333,27308.37,14.61927083
2004,9.324583333,15.75725,28826.48,13.65260417
2005,9.700916667,15.87925,29663.75,12.11927083
2006,9.5325,15.8135,30905.93,9.519270833
2007,9.732166667,15.8273333,31608.28,22.7859375
2008,9.43175,15.72125,31856.76,30.45260417
2009,9.50525,15.82716667,31769.89,33.65260417
2010,9.703083333,15.8955,33328.38,33.87824005
2011,9.516,15.7695,33226.01,36.71847075
2012,9.507333333,15.8023333,33620.34,47.17390325
2013,9.6065,15.85441667,34217.18,41.33798668
2014,9.570666667,15.913,34558.59,53.85737212
2015,9.831,16.05858333,34521.91,50.46170567
2016,9.82,,35160.6,54.34696367
2017,9.865,,35588.7,57.35599133
2018,9.881,,36441.55,53.08512198
2019,9.892,,37081.16,61.39371322
2020,9.64,,35261.23,66.70432506